,policy_id,customer_gender_female,customer_gender_male,policy_state_or,injury_claim,policy_state_ca,collision_type_na,police_report_available,incident_month,policy_state_nv,customer_age,collision_type_front,total_claim_amount,incident_type_theft,collision_type_side,customer_education,policy_state_wa,incident_type_breakin,num_witnesses,driver_relationship_child,auto_year,authorities_contacted_fire,policy_annual_premium,driver_relationship_spouse,collision_type_rear,months_as_customer,num_injuries,num_insurers_past_5_years,incident_dow,driver_relationship_na,incident_day,authorities_contacted_none,policy_state_az,num_claims_past_year,policy_state_id,num_vehicles_involved,incident_severity,policy_deductable,authorities_contacted_police,incident_type_collision,fraud,authorities_contacted_ambulance,driver_relationship_other,policy_liability,incident_hour,driver_relationship_self,vehicle_claim
0,12,0,1,0,0.0,1,0,1,1,0,49,0,5500.0,0,1,3,0,0,1,0,2018,0,3000,0,0,157,0,1,3,0,3,0,0,0,0,2,0,750,1,1,0,0,0,0,13,1,5500.0
1,86,0,1,0,0.0,1,0,0,6,0,44,1,11500.0,0,0,3,0,0,4,0,2015,0,3000,0,0,120,0,1,0,0,17,1,0,0,0,2,0,750,0,1,0,0,0,2,0,1,11500.0
2,3586,1,0,0,10000.0,0,0,1,8,0,44,0,29500.0,0,1,4,0,0,0,0,2012,0,2900,0,0,55,3,1,2,0,28,0,1,0,0,2,2,750,1,1,0,0,0,1,23,1,19500.0
3,370,0,1,0,0.0,1,0,0,2,0,57,0,13000.0,0,0,3,0,0,3,0,2014,0,3000,0,1,132,0,1,2,0,27,0,0,0,0,2,1,750,1,1,0,0,0,1,5,1,13000.0
4,3678,1,0,0,0.0,1,0,1,12,0,38,0,18000.0,0,0,4,0,0,1,0,2018,0,3000,1,1,68,0,1,3,0,26,0,0,0,0,3,1,750,1,1,0,0,0,0,22,0,18000.0
5,3829,0,1,0,0.0,0,0,0,1,0,36,1,2000.0,0,0,3,0,0,2,0,2014,0,2950,0,0,69,0,1,6,0,6,0,1,0,0,2,0,750,1,1,0,0,0,0,11,1,2000.0
6,3997,1,0,0,0.0,0,0,0,11,1,34,0,43000.0,0,1,3,0,0,0,0,2020,1,2800,1,0,35,0,1,4,0,29,0,0,0,0,2,2,750,0,1,0,0,0,1,0,0,43000.0
7,2665,0,1,1,0.0,0,0,0,4,0,37,0,10500.0,0,1,3,0,0,0,0,2015,0,3000,0,0,69,0,1,1,0,16,1,0,0,0,1,0,750,0,1,0,0,0,3,10,1,10500.0
8,984,0,1,0,7500.0,0,0,1,5,0,31,1,25000.0,0,0,1,1,0,5,0,2016,0,3000,0,0,56,4,2,4,0,31,0,0,1,0,4,1,750,1,1,0,0,0,1,13,1,17500.0
9,1132,0,1,0,0.0,1,0,0,8,0,75,1,8000.0,0,0,1,0,0,0,0,2020,0,3000,0,0,150,0,1,0,0,12,0,0,0,0,2,0,750,1,1,0,0,0,0,12,1,8000.0
10,1169,0,1,0,8000.0,1,0,1,8,0,31,0,53500.0,0,1,3,0,0,2,0,2019,0,3000,0,0,113,2,1,2,0,7,0,0,0,0,4,2,750,1,1,0,0,0,1,20,1,45500.0
11,2891,1,0,0,0.0,0,0,1,9,0,54,0,7000.0,0,1,3,1,0,2,0,2010,0,2800,0,0,58,0,2,0,0,2,0,0,0,0,3,1,750,1,1,0,0,0,1,1,1,7000.0
12,4445,0,1,0,12000.0,1,0,1,9,0,23,1,34500.0,0,0,3,0,0,2,0,2018,0,3000,0,0,12,1,2,5,0,14,0,0,0,0,3,1,750,1,1,0,0,0,0,9,1,22500.0
13,1296,0,1,0,0.0,1,0,0,11,0,66,0,12000.0,0,1,4,0,0,0,0,2015,0,3000,0,0,199,0,1,5,0,30,1,0,0,0,1,0,750,0,1,0,0,0,3,15,1,12000.0
14,3121,0,1,0,0.0,1,1,0,9,0,51,0,7500.0,0,0,4,0,1,0,0,2018,0,3000,0,0,83,0,1,4,1,20,0,0,0,0,1,0,750,1,0,0,0,0,1,11,0,7500.0
15,3370,0,1,0,0.0,1,0,1,5,0,59,1,1000.0,0,0,2,0,0,2,0,2018,0,3000,0,0,180,0,1,1,0,7,0,0,2,0,3,0,750,1,1,0,0,0,0,13,1,1000.0
16,3420,0,1,0,0.0,1,0,1,3,0,21,0,18000.0,0,1,1,0,0,2,0,2019,0,3000,0,0,27,0,1,0,0,4,0,0,0,0,3,1,750,1,1,0,0,1,0,18,0,18000.0
17,251,0,1,0,26000.0,0,0,0,3,0,32,1,48500.0,0,0,1,1,0,0,0,2013,1,3000,0,0,19,1,4,0,0,25,0,0,0,0,2,2,750,0,1,1,0,0,2,15,1,22500.0
18,1969,0,1,0,0.0,1,1,0,12,0,49,0,2500.0,0,0,3,0,1,0,0,2012,0,3000,0,0,138,0,1,5,1,14,0,0,0,0,1,0,750,1,0,0,0,0,0,4,0,2500.0
19,314,1,0,0,0.0,0,0,0,3,1,50,0,13000.0,0,1,3,0,0,0,0,2016,0,3000,0,0,31,0,3,6,0,17,1,0,0,0,2,0,750,0,1,0,0,0,1,14,1,13000.0
20,518,0,1,0,0.0,0,1,0,5,1,26,0,6500.0,0,0,4,0,1,1,0,2017,0,2700,0,0,66,0,1,2,1,29,0,0,0,0,1,0,750,1,0,0,0,0,3,5,0,6500.0
21,2351,0,1,0,0.0,1,0,0,12,0,75,1,10500.0,0,0,2,0,0,0,0,2017,0,3000,0,0,115,0,1,2,0,4,1,0,0,0,1,0,750,0,1,0,0,0,1,18,1,10500.0
22,2470,0,1,0,0.0,1,0,1,9,0,36,0,33500.0,0,1,1,0,0,2,0,2016,0,3000,0,0,26,0,2,1,0,24,0,0,0,0,3,2,750,1,1,0,0,0,0,9,1,33500.0
23,4109,0,1,0,0.0,1,0,0,1,0,35,0,15000.0,0,1,4,0,0,1,0,2018,0,3000,0,0,50,0,2,1,0,29,0,0,1,0,2,1,750,0,1,0,1,0,0,12,1,15000.0
24,1231,0,1,0,0.0,0,0,1,8,0,56,0,13000.0,0,0,3,0,0,0,0,2013,0,2900,0,1,99,0,1,1,0,27,0,1,0,0,2,1,750,1,1,0,0,0,2,13,1,13000.0
25,3023,0,1,0,0.0,0,0,0,1,0,42,1,6000.0,0,0,3,0,0,0,0,2012,0,3000,0,0,112,0,1,1,0,15,1,1,0,0,2,0,750,0,1,1,0,0,0,18,1,6000.0
26,4671,0,1,0,0.0,1,0,1,8,0,55,1,25000.0,0,0,1,0,0,3,1,2020,0,3000,0,0,215,0,1,0,0,5,0,0,0,0,2,1,750,1,1,0,0,0,3,15,0,25000.0
27,1520,1,0,0,9500.0,1,1,0,8,0,50,0,32000.0,0,0,3,0,1,0,0,2017,0,3000,0,0,74,1,1,5,1,24,0,0,1,0,1,1,750,1,0,1,0,0,0,20,0,22500.0
28,1639,0,1,0,16500.0,1,0,1,10,0,19,1,32500.0,0,0,1,0,0,2,1,2018,0,3000,0,0,13,3,2,0,0,28,0,0,0,0,2,1,750,1,1,0,0,0,3,7,0,16000.0
