fraud,customer_gender_female,customer_gender_male,policy_state_or,injury_claim,policy_state_ca,collision_type_na,police_report_available,incident_month,policy_state_nv,customer_age,collision_type_front,total_claim_amount,incident_type_theft,collision_type_side,customer_education,policy_state_wa,incident_type_breakin,num_witnesses,driver_relationship_child,auto_year,authorities_contacted_fire,policy_annual_premium,driver_relationship_spouse,collision_type_rear,months_as_customer,num_injuries,num_insurers_past_5_years,incident_dow,driver_relationship_na,incident_day,authorities_contacted_none,policy_state_az,num_claims_past_year,policy_state_id,num_vehicles_involved,incident_severity,policy_deductable,authorities_contacted_police,incident_type_collision,authorities_contacted_ambulance,driver_relationship_other,policy_liability,incident_hour,driver_relationship_self,vehicle_claim
0,1,0,0,0.0,1,0,0,1,0,46,0,3500.0,0,0,4,0,0,0,0,2014,0,3000,0,1,39,0,2,4,0,11,1,0,0,0,1,0,750,0,1,0,0,1,2,1,3500.0
0,1,0,0,0.0,0,1,0,12,0,55,0,6500.0,1,0,3,1,0,0,0,2015,0,3000,0,0,129,0,1,5,1,7,0,0,0,0,1,1,750,1,0,0,0,2,15,0,6500.0
0,0,1,0,16000.0,1,0,1,9,0,49,0,32500.0,0,1,4,0,0,4,0,2016,0,3000,0,0,60,2,1,4,0,13,0,0,0,0,4,1,750,1,1,0,0,0,0,1,16500.0
0,1,0,0,0.0,1,0,0,1,0,43,0,13000.0,0,0,1,0,0,1,0,2017,0,3000,0,1,107,0,1,3,0,31,1,0,0,0,2,0,750,0,1,0,0,0,14,1,13000.0
0,0,1,0,0.0,0,0,0,8,1,28,1,11500.0,0,0,4,0,0,0,0,2018,0,3000,0,0,109,0,1,0,0,19,1,0,1,0,2,0,750,0,1,0,0,1,20,1,11500.0
0,0,1,0,0.0,1,0,0,10,0,49,0,8000.0,0,0,1,0,0,0,0,2017,0,3000,0,1,120,0,1,3,0,17,1,0,0,0,1,0,750,0,1,0,0,0,14,1,8000.0
0,1,0,0,0.0,1,0,1,5,0,40,1,17000.0,0,0,3,0,0,0,0,2017,0,2600,1,0,74,0,1,0,0,13,0,0,0,0,3,1,750,1,1,0,0,0,8,0,17000.0
0,0,1,0,0.0,1,0,1,2,0,54,1,18000.0,0,0,3,0,0,0,0,2020,0,3000,1,0,136,0,1,5,0,2,0,0,0,0,2,1,750,1,1,0,0,0,4,0,18000.0
0,0,1,0,0.0,1,0,0,3,0,69,0,1000.0,0,1,3,0,0,0,0,2007,0,2550,0,0,288,0,1,5,0,16,1,0,0,0,1,0,750,0,1,0,0,0,19,1,1000.0
0,1,0,0,0.0,1,0,1,4,0,67,0,11500.0,0,1,1,0,0,1,0,2018,0,3000,0,0,78,0,1,5,0,20,0,0,0,0,3,0,750,1,1,0,0,1,11,1,11500.0
0,1,0,0,0.0,0,1,0,5,0,46,0,16000.0,1,0,1,1,0,1,0,2016,0,3000,0,0,51,0,2,2,1,29,0,0,0,0,1,1,750,1,0,0,0,3,13,0,16000.0
0,1,0,0,0.0,1,0,0,5,0,52,0,7500.0,0,0,3,0,0,0,0,2016,0,3000,0,1,114,0,1,1,0,21,0,0,0,0,2,0,750,1,1,0,0,0,18,1,7500.0
0,0,1,0,0.0,1,1,0,8,0,59,0,16000.0,1,0,3,0,0,0,0,2016,0,3000,0,0,88,0,1,0,1,12,0,0,0,0,1,1,750,1,0,0,0,0,9,0,16000.0
